Test,Output,Nominal,Spec,Weight,Pass/Fail
yg9bq_DDPUF_128_mc_1,E1_iter38,35.91e-6,,,
yg9bq_DDPUF_128_mc_1,E1_iter39,135.2e-6,,,
yg9bq_DDPUF_128_mc_1,E1_iter40,160.1e-6,,,
yg9bq_DDPUF_128_mc_1,E1_iter41,-26e-6,,,
yg9bq_DDPUF_128_mc_1,E1_iter42,-532.2e-6,,,
yg9bq_DDPUF_128_mc_1,E1_iter43,-248.6e-6,,,
yg9bq_DDPUF_128_mc_1,E1_iter44,-237.3e-6,,,
yg9bq_DDPUF_128_mc_1,E1_iter45,129.4e-6,,,
yg9bq_DDPUF_128_mc_1,E1_iter46,-434.9e-6,,,
yg9bq_DDPUF_128_mc_1,E1_iter47,-52.68e-6,,,
yg9bq_DDPUF_128_mc_1,E1_iter48,198.1e-6,,,
yg9bq_DDPUF_128_mc_1,E1_iter49,95.65e-6,,,
yg9bq_DDPUF_128_mc_1,E2_iter0,800e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter1,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter2,800e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter3,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter4,799.7e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter5,800.3e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter6,800.4e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter7,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter8,800e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter9,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter10,800.6e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter11,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter12,800e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter13,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter14,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter15,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter16,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter17,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter18,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter19,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter20,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter21,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter22,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter23,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter24,800e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter25,799.5e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter26,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter27,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter28,799.4e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter29,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter30,800e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter31,800e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter32,800e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter33,799.6e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter34,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter35,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter36,800e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter37,799.5e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter38,800e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter39,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter40,800.3e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter41,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter42,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter43,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter44,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter45,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter46,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter47,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter48,800e-3,,,
yg9bq_DDPUF_128_mc_1,E2_iter49,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E3_iter0,-55.42e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter1,-4.002e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter2,265.7e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter3,-18.79e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter4,46.86e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter5,-111.5e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter6,-437.5e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter7,-172.6e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter8,-51.65e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter9,-140.1e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter10,-473e-6,,,
yg9bq_DDPUF_128_mc_1,E3_iter11,440.8e-6,,,
