Point,Corner,mc_iteration,Pass/Fail,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126,E127
11,nom,11,,47.89e-9,800e-3,800e-3,800e-3,800e-3,800e-3,44.83e-9,800e-3,800e-3,800e-3,53.6e-9,42.31e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,44.28e-9,43.09e-9,800e-3,800e-3,800e-3,800e-3,800e-3,48.46e-9,800e-3,50.86e-9,131.9e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,-11.88e-9,800e-3,800e-3,800e-3,800e-3,67.24e-9,800e-3,47.52e-9,483.1e-9,90.17e-9,800e-3,50.26e-9,47.91e-9,800e-3,800e-3,800e-3,800e-3,53.27e-9,800e-3,800e-3,-1.631e-6,800e-3,50.61e-9,73.55e-9,800e-3,800e-3,70.85e-9,25.49e-9,110.1e-9,66.16e-9,800e-3,800e-3,800e-3,800e-3,47.48e-9,57.69e-9,-295.8e-9,800e-3,800e-3,800e-3,71.1e-9,50.49e-9,800e-3,61.76e-9,45.25e-9,57.37e-9,82.79e-9,62.23e-9,800e-3,84.74e-9,60.35e-9,800e-3,800e-3,19.67e-9,800e-3,16.82e-9,800e-3,800e-3,55.51e-9,800e-3,800e-3,800e-3,800e-3,800e-3,5.684e-9,49.86e-9,74.42e-9,800e-3,800e-3,53.08e-9,800e-3,125.5e-9,800e-3,800e-3,58.03e-9,277.8e-9,800e-3,800e-3,58.61e-9,91.17e-9,800e-3,49.35e-9,800e-3,800e-3,800e-3,800e-3,800e-3,148.6e-9,800e-3,94.03e-9,130.9e-9,800e-3
12,nom,12,,59.74e-9,64.7e-9,800e-3,48.29e-9,79.98e-9,70.01e-9,66.94e-9,800e-3,800e-3,75.53e-9,800e-3,57.7e-9,54.99e-9,800e-3,81.73e-9,800e-3,52.45e-9,81.77e-9,69.27e-9,800e-3,64.98e-9,800e-3,87.5e-9,67.02e-9,63.37e-9,800e-3,800e-3,800e-3,47.37e-9,79.25e-9,69.62e-9,57.44e-9,61.63e-9,60.24e-9,66.54e-9,800e-3,800e-3,800e-3,800e-3,800e-3,62.93e-9,800e-3,81.22e-9,800e-3,800e-3,54.65e-9,800e-3,71.92e-9,800e-3,800e-3,53.71e-9,800e-3,57.84e-9,800e-3,46.96e-9,800e-3,57.79e-9,46.22e-9,70.46e-9,66.22e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,66.28e-9,56.56e-9,800e-3,800e-3,59.5e-9,800e-3,90.72e-9,800e-3,50.63e-9,44.64e-9,800e-3,800e-3,800e-3,800e-3,66.3e-9,800e-3,800e-3,57.19e-9,66.58e-9,800e-3,800e-3,102.5e-9,61.25e-9,800e-3,45.31e-9,70.48e-9,43.7e-9,69.35e-9,72.13e-9,800e-3,54.88e-9,62.61e-9,43.76e-9,800e-3,800e-3,61.34e-9,76.22e-9,56.58e-9,800e-3,800e-3,800e-3,800e-3,71.99e-9,61.67e-9,800e-3,800e-3,800e-3,60.4e-9,61.57e-9,64.5e-9,45.91e-9,116.2e-9,42.61e-9,67.3e-9,48.18e-9,50.63e-9,106.5e-9,59.3e-9,800e-3,800e-3,800e-3,47.62e-9
13,nom,13,,800e-3,50.75e-9,800e-3,65.57e-9,800e-3,53.53e-9,52.15e-9,60.93e-9,800e-3,9.185e-9,436.1e-9,800e-3,-37.12e-9,800e-3,800e-3,55.2e-9,800e-3,800e-3,49.94e-9,47.34e-9,49.5e-9,800e-3,800e-3,64.94e-9,800e-3,800e-3,75.49e-9,800e-3,-88.67e-9,800e-3,800e-3,59.66e-9,800e-3,506.5e-9,67.62e-9,800e-3,800e-3,800e-3,800e-3,93.77e-9,800e-3,56.21e-9,-58.23e-9,800e-3,103.3e-9,800e-3,58.98e-9,800e-3,800e-3,800e-3,70.14e-9,800e-3,800e-3,56.68e-9,800e-3,54.68e-9,800e-3,800e-3,52.3e-9,800e-3,800e-3,800e-3,55.64e-9,800e-3,46.2e-9,88.29e-9,800e-3,800e-3,56.5e-9,800e-3,800e-3,50.17e-9,-97.66e-9,800e-3,800e-3,800e-3,141.7e-9,800e-3,800e-3,92.57e-9,800e-3,800e-3,-29.01e-9,800e-3,55.59e-9,76.17e-9,800e-3,58.76e-9,48.63e-9,80.51e-9,800e-3,800e-3,800e-3,5.995e-9,800e-3,67.72e-9,73e-9,46.75e-9,800e-3,51.81e-9,57.12e-9,800e-3,58.33e-9,81.16e-9,62.65e-9,43.73e-9,800e-3,53.84e-9,46.24e-9,800e-3,53.11e-9,110.3e-9,47.32e-9,90.53e-9,800e-3,5.83e-9,58.27e-9,263.5e-9,800e-3,800e-3,63.24e-9,66e-9,800e-3,800e-3,800e-3,20.32e-9,800e-3,800e-3
14,nom,14,,223e-9,70.84e-9,63.54e-9,53.66e-9,47.84e-9,800e-3,85.99e-9,800e-3,800e-3,800e-3,800e-3,145.1e-9,126.4e-9,56.31e-9,800e-3,63.33e-9,96.38e-9,51.29e-9,800e-3,800e-3,58.28e-9,46.97e-9,48.99e-9,86.14e-9,56.92e-9,72.83e-9,105.1e-9,-115.7e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,51.09e-9,115.8e-9,65.48e-9,800e-3,13.18e-9,19.07e-9,800e-3,53.59e-9,800e-3,53.7e-9,800e-3,800e-3,49.78e-9,50.24e-9,76.2e-9,96.21e-9,114.4e-9,800e-3,61.14e-9,800e-3,93.71e-9,65.59e-9,800e-3,92.23e-9,800e-3,800e-3,124.2e-9,48.72e-9,143.6e-9,48.04e-9,800e-3,800e-3,800e-3,70.66e-9,800e-3,77.09e-9,125.7e-9,800e-3,73.56e-9,800e-3,61.93e-9,53.42e-9,800e-3,800e-3,800e-3,52.89e-9,71.75e-9,800e-3,264e-9,800e-3,800e-3,99.18e-9,800e-3,800e-3,66.9e-9,86.25e-9,87.85e-9,54.88e-9,52.27e-9,800e-3,19.85e-9,69.73e-9,17.41e-9,-1.665e-6,70.57e-9,800e-3,800e-3,66.45e-9,800e-3,800e-3,800e-3,800e-3,800e-3,63.23e-9,800e-3,58.44e-9,800e-3,800e-3,26.71e-9,57.02e-9,800e-3,800e-3,800e-3,800e-3,75.34e-9,44.3e-9,87.94e-9,800e-3
15,nom,15,,42.17e-9,800e-3,54.19e-9,800e-3,800e-3,800e-3,800e-3,69.62e-9,48.63e-9,800e-3,800e-3,39.12e-9,800e-3,800e-3,56.84e-9,800e-3,-116.7e-9,800e-3,57.74e-9,48.77e-9,294e-9,22.65e-9,174.4e-9,800e-3,800e-3,63.45e-9,800e-3,88.51e-9,56.6e-9,800e-3,61.14e-9,141.6e-9,29.87e-9,79.03e-9,800e-3,800e-3,68.19e-9,52.01e-9,50.5e-9,70.7e-9,800e-3,800e-3,43.46e-9,103.8e-9,68.15e-9,124.4e-9,50.16e-9,800e-3,70.44e-9,115.6e-9,800e-3,800e-3,800e-3,800e-3,800e-3,48.85e-9,800e-3,55.09e-9,800e-3,800e-3,40.2e-9,50.85e-9,800e-3,800e-3,67.18e-9,142.9e-9,47.16e-9,65.56e-9,800e-3,800e-3,800e-3,800e-3,51.43e-9,49.72e-9,83.52e-9,51.62e-9,800e-3,269.7e-9,74.39e-9,800e-3,800e-3,800e-3,96.1e-9,800e-3,800e-3,800e-3,800e-3,800e-3,93.94e-9,66.12e-9,51.31e-9,800e-3,-7.235e-9,800e-3,800e-3,11.54e-9,800e-3,800e-3,800e-3,63.7e-9,800e-3,800e-3,152.3e-9,800e-3,800e-3,800e-3,800e-3,800e-3,62.2e-9,800e-3,62.94e-9,53.41e-9,80.12e-9,800e-3,52.01e-9,800e-3,53.29e-9,46.21e-9,82.39e-9,800e-3,800e-3,800e-3,27.75e-9,800e-3,63.17e-9,800e-3,32.4e-9,800e-3
16,nom,16,,58.48e-9,74.76e-9,57.64e-9,800e-3,52.3e-9,70.79e-9,60.1e-9,57.35e-9,88.66e-9,84.38e-9,800e-3,800e-3,45.29e-9,50.58e-9,77.45e-9,800e-3,57.2e-9,800e-3,800e-3,299.7e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,70.1e-9,53.05e-9,800e-3,800e-3,54.16e-9,71.07e-9,82.55e-9,58.32e-9,800e-3,800e-3,63.69e-9,55.5e-9,800e-3,800e-3,-133.3e-9,800e-3,138.7e-9,800e-3,800e-3,69.28e-9,57.86e-9,58.31e-9,36.06e-9,800e-3,43.64e-9,58.58e-9,800e-3,94.5e-9,800e-3,89.49e-9,53.62e-9,800e-3,62.54e-9,69.82e-9,69.58e-9,-125.1e-9,800e-3,53.62e-9,75.07e-9,60.31e-9,800e-3,800e-3,58.82e-9,53.12e-9,63.98e-9,62.55e-9,800e-3,50.95e-9,800e-3,800e-3,93.49e-9,92.24e-9,800e-3,47.18e-9,800e-3,800e-3,800e-3,-386.2e-9,38.05e-9,51.18e-9,800e-3,800e-3,800e-3,59.29e-9,800e-3,800e-3,77.01e-9,800e-3,800e-3,48.69e-9,800e-3,47.56e-9,46.09e-9,42.93e-9,80.82e-9,800e-3,61.98e-9,59.37e-9,69.54e-9,800e-3,800e-3,800e-3,800e-3,800e-3,68.27e-9,56.85e-9,800e-3,71.9e-9,800e-3,800e-3,800e-3,-167.3e-9,95.42e-9,31.06e-9,59.05e-9,45.71e-9,65.86e-9,800e-3,81.33e-9,800e-3,51.73e-9
17,nom,17,,800e-3,800e-3,800e-3,35.22e-9,69.44e-9,68.03e-9,800e-3,800e-3,800e-3,800e-3,800e-3,64.44e-9,71.83e-9,800e-3,800e-3,69.39e-9,72.42e-9,800e-3,800e-3,53.25e-9,141.1e-9,105.6e-9,71.96e-9,72.57e-9,88.97e-9,52.94e-9,53.16e-9,800e-3,800e-3,61.16e-9,87.21e-9,800e-3,800e-3,800e-3,800e-3,195.2e-9,800e-3,81.88e-9,800e-3,-122.7e-9,800e-3,800e-3,95.34e-9,61.21e-9,800e-3,800e-3,53.4e-9,800e-3,800e-3,196.2e-9,167.7e-9,800e-3,50.88e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,86.92e-9,800e-3,800e-3,444.6e-9,800e-3,52.31e-9,106.1e-9,57.34e-9,47.48e-9,800e-3,63.57e-9,48.4e-9,136.4e-9,67.54e-9,800e-3,68.55e-9,800e-3,800e-3,800e-3,40.1e-9,66.35e-9,31.65e-9,800e-3,800e-3,51.3e-9,800e-3,800e-3,51.69e-9,70.87e-9,63.29e-9,800e-3,54.9e-9,55.61e-9,800e-3,800e-3,52.28e-9,800e-3,800e-3,62.14e-9,800e-3,30.77e-9,800e-3,57.57e-9,800e-3,800e-3,53.74e-9,84.17e-9,58.53e-9,30.4e-9,67.07e-9,77.01e-9,800e-3,800e-3,800e-3,800e-3,101e-9,55.13e-9,49.88e-9,75.13e-9,48.67e-9,800e-3,800e-3,800e-3,50.4e-9,49.64e-9,83.41e-9,71.72e-9,80.95e-9
18,nom,18,,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,50.35e-9,800e-3,47.77e-9,53.17e-9,32.32e-9,800e-3,800e-3,65.2e-9,800e-3,800e-3,800e-3,800e-3,65.23e-9,800e-3,800e-3,800e-3,60.76e-9,50.84e-9,800e-3,74.72e-9,63.92e-9,43.07e-9,800e-3,800e-3,62.76e-9,58.46e-9,51.16e-9,68.87e-9,800e-3,120.8e-9,800e-3,800e-3,800e-3,800e-3,50.01e-9,800e-3,800e-3,46e-9,76.46e-9,800e-3,45.47e-9,72.5e-9,800e-3,47e-9,800e-3,800e-3,800e-3,800e-3,800e-3,50.23e-9,110.1e-9,800e-3,800e-3,800e-3,800e-3,61.34e-9,800e-3,800e-3,800e-3,800e-3,800e-3,87.43e-9,49.61e-9,800e-3,800e-3,800e-3,60.01e-9,90.7e-9,800e-3,800e-3,800e-3,800e-3,58.85e-9,800e-3,58.7e-9,800e-3,62.04e-9,59.56e-9,800e-3,800e-3,800e-3,800e-3,56.11e-9,800e-3,800e-3,49.46e-9,44.11e-9,63.61e-9,107.5e-9,77.65e-9,800e-3,67.5e-9,800e-3,800e-3,64.59e-9,800e-3,60.26e-9,800e-3,800e-3,66.9e-9,47.35e-9,64.71e-9,800e-3,61.83e-9,800e-3,65.72e-9,47.79e-9,60.77e-9,800e-3,47.08e-9,800e-3,48.64e-9,56.28e-9,73.77e-9,69.26e-9,800e-3,59.28e-9,88.1e-9,800e-3,800e-3,800e-3
19,nom,19,,800e-3,800e-3,65.77e-9,82.54e-9,800e-3,101e-9,800e-3,71.88e-9,95.22e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,49.49e-9,65.02e-9,800e-3,80.85e-9,800e-3,54.18e-9,800e-3,800e-3,800e-3,800e-3,800e-3,50.14e-9,800e-3,60.63e-9,800e-3,800e-3,800e-3,800e-3,800e-3,90.67e-9,-11.15e-9,66.94e-9,49.68e-9,800e-3,800e-3,111.9e-9,52.33e-9,800e-3,800e-3,-16.64e-9,12.34e-9,800e-3,800e-3,800e-3,14.87e-9,74.33e-9,54.13e-9,73.99e-9,46.88e-9,63.62e-9,800e-3,800e-3,800e-3,53.4e-9,125e-9,67.73e-9,800e-3,800e-3,800e-3,47.26e-9,800e-3,46.98e-9,800e-3,800e-3,800e-3,85.64e-9,54.32e-9,800e-3,800e-3,800e-3,132e-9,90.93e-9,74.51e-9,800e-3,800e-3,112.5e-9,800e-3,227.8e-9,800e-3,82.97e-9,59.07e-9,800e-3,800e-3,800e-3,800e-3,800e-3,44.84e-9,64.56e-9,800e-3,32.95e-9,800e-3,58.73e-9,800e-3,800e-3,800e-3,57.08e-9,46.73e-9,800e-3,68.86e-9,42.4e-9,800e-3,800e-3,54.77e-9,800e-3,800e-3,800e-3,57.94e-9,800e-3,800e-3,800e-3,71.81e-9,87.62e-9,67.64e-9,800e-3,45.53e-9,800e-3,800e-3,800e-3,800e-3,800e-3,65.78e-9,69.73e-9
20,nom,20,,75.14e-9,800e-3,54.76e-9,52.18e-9,800e-3,160.3e-9,-9.253e-9,52.38e-9,16.66e-9,117e-9,800e-3,800e-3,63.52e-9,52.44e-9,48.97e-9,800e-3,800e-3,54.62e-9,800e-3,800e-3,800e-3,49.28e-9,49.35e-9,800e-3,55.14e-9,57.88e-9,71.91e-9,87.99e-9,800e-3,63.64e-9,46.69e-9,56.21e-9,96.39e-9,-79.24e-9,61.97e-9,800e-3,800e-3,146.4e-9,800e-3,53.45e-9,800e-3,74.17e-9,81.49e-9,32.98e-9,52.11e-9,-67.57e-9,800e-3,46.71e-9,800e-3,800e-3,49.53e-9,57.02e-9,73.78e-9,800e-3,800e-3,122e-9,83.3e-9,58.48e-9,800e-3,33e-9,800e-3,47.62e-9,66.98e-9,800e-3,50.1e-9,92.18e-9,96.37e-9,800e-3,800e-3,800e-3,74.01e-9,800e-3,17.88e-9,800e-3,800e-3,82.4e-9,800e-3,800e-3,56.48e-9,205.4e-9,98.75e-9,800e-3,101.3e-9,800e-3,-41.44e-9,53.27e-9,203.6e-9,800e-3,136.2e-9,800e-3,800e-3,65.38e-9,59.7e-9,25.5e-9,53.7e-9,800e-3,800e-3,56.64e-9,800e-3,800e-3,50.47e-9,59.47e-9,118.3e-9,32.76e-9,800e-3,105.9e-9,800e-3,52.31e-9,800e-3,166.9e-9,800e-3,59.54e-9,800e-3,800e-3,108e-9,49.59e-9,69.87e-9,800e-3,50.22e-9,800e-3,800e-3,63.37e-9,72.74e-9,800e-3,800e-3,109e-9,800e-3,800e-3
21,nom,21,,800e-3,50.29e-9,800e-3,71.92e-9,800e-3,800e-3,81.62e-9,800e-3,800e-3,800e-3,800e-3,75.91e-9,51.99e-9,800e-3,800e-3,800e-3,56.9e-9,800e-3,33.03e-9,800e-3,45.98e-9,800e-3,800e-3,81.72e-9,800e-3,800e-3,800e-3,800e-3,47.32e-9,800e-3,63.78e-9,149.6e-9,800e-3,800e-3,800e-3,46.81e-9,800e-3,800e-3,-223.2e-9,800e-3,-7.916e-9,52.51e-9,800e-3,86.6e-9,98.15e-9,50.96e-9,800e-3,800e-3,800e-3,800e-3,69.38e-9,800e-3,128.3e-9,43.7e-9,54.37e-9,2.121e-9,53.34e-9,-82.6e-9,48.07e-9,800e-3,800e-3,54.32e-9,32.43e-9,44.94e-9,60.21e-9,800e-3,800e-3,50.51e-9,73.37e-9,800e-3,800e-3,72.08e-9,800e-3,53.23e-9,96.12e-9,800e-3,800e-3,-14.02e-9,800e-3,800e-3,800e-3,44.82e-9,800e-3,800e-3,800e-3,800e-3,800e-3,84e-9,47.61e-9,800e-3,76.6e-9,38.33e-9,800e-3,89.47e-9,-219.7e-9,800e-3,800e-3,800e-3,48.65e-9,800e-3,68.78e-9,800e-3,800e-3,64.45e-9,800e-3,800e-3,800e-3,800e-3,229.4e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,53.06e-9,800e-3,89.27e-9,98.8e-9,48.38e-9,52.43e-9,53e-9,121.9e-9,57.73e-9,160.5e-9,800e-3
22,nom,22,,800e-3,800e-3,800e-3,106.1e-9,57.67e-9,800e-3,46.91e-9,45.46e-9,55.52e-9,71.78e-9,53.54e-9,55.78e-9,58.97e-9,800e-3,59.26e-9,60.49e-9,47.74e-9,59.14e-9,74.76e-9,62.4e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,88.38e-9,66.82e-9,92.22e-9,54.5e-9,800e-3,49.66e-9,49.75e-9,800e-3,49.25e-9,800e-3,800e-3,800e-3,800e-3,60.05e-9,53.58e-9,44.24e-9,800e-3,45.44e-9,800e-3,800e-3,64.23e-9,75.79e-9,50.3e-9,800e-3,59.26e-9,43.69e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,46.83e-9,800e-3,66.26e-9,800e-3,800e-3,68.16e-9,800e-3,58.48e-9,69.51e-9,800e-3,800e-3,66.47e-9,800e-3,45.58e-9,43.92e-9,80.56e-9,50.82e-9,59.19e-9,47.59e-9,800e-3,800e-3,800e-3,46.5e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,50.94e-9,800e-3,48.1e-9,800e-3,65.74e-9,800e-3,800e-3,800e-3,800e-3,49.65e-9,58.72e-9,800e-3,800e-3,800e-3,105.1e-9,800e-3,83.66e-9,800e-3,800e-3,800e-3,54.92e-9,800e-3,800e-3,800e-3,800e-3,63.18e-9,56.06e-9,800e-3,800e-3,800e-3,61.12e-9,800e-3,800e-3,800e-3,800e-3
23,nom,23,,800e-3,84.74e-9,63.16e-9,800e-3,800e-3,79.77e-9,2.469e-6,91.42e-9,800e-3,800e-3,56.12e-9,800e-3,800e-3,105.3e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,74.59e-9,57.32e-9,72.98e-9,47.39e-9,800e-3,800e-3,48.45e-9,52.15e-9,48.6e-9,80.65e-9,57.31e-9,800e-3,800e-3,62.75e-9,800e-3,800e-3,62.22e-9,135.8e-9,70.42e-9,800e-3,800e-3,68.97e-9,800e-3,800e-3,89.37e-9,800e-3,47.16e-9,45.3e-9,800e-3,57.22e-9,800e-3,800e-3,57.79e-9,36.03e-9,83.43e-9,800e-3,800e-3,800e-3,75.84e-9,800e-3,44.81e-9,72.21e-9,53.78e-9,800e-3,57.19e-9,65.82e-9,800e-3,800e-3,800e-3,-5.943e-9,60.25e-9,62.25e-9,57.18e-9,68.31e-9,800e-3,800e-3,142.2e-9,800e-3,800e-3,66.81e-9,800e-3,39.66e-9,48.75e-9,63.82e-9,80.36e-9,800e-3,800e-3,46.45e-9,800e-3,800e-3,42.89e-9,800e-3,73.09e-9,800e-3,60.45e-9,2.007e-9,800e-3,50.26e-9,800e-3,106.7e-9,58.94e-9,-9.931e-9,800e-3,800e-3,71.65e-9,52.98e-9,61.25e-9,69.42e-9,800e-3,70.28e-9,51.19e-9,800e-3,800e-3,800e-3,800e-3,56.6e-9,800e-3,60.93e-9,800e-3,87.57e-9,60.25e-9,800e-3,94.2e-9,800e-3,137e-9,800e-3,47.07e-9,54.38e-9
24,nom,24,,800e-3,800e-3,1.195e-6,800e-3,54.28e-9,68.73e-9,58.81e-9,800e-3,54.44e-9,800e-3,71.57e-9,61.3e-9,67.43e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,59.16e-9,58.21e-9,800e-3,800e-3,53.41e-9,800e-3,49.33e-9,800e-3,55.94e-9,800e-3,800e-3,51.85e-9,800e-3,800e-3,800e-3,800e-3,800e-3,51.2e-9,800e-3,49.47e-9,800e-3,800e-3,87.68e-9,800e-3,67.19e-9,68.01e-9,55.57e-9,800e-3,800e-3,67.03e-9,800e-3,49.98e-9,70.2e-9,800e-3,800e-3,44.62e-9,54.6e-9,48.8e-9,81.06e-9,800e-3,800e-3,75.92e-9,800e-3,800e-3,60.72e-9,72.84e-9,63.06e-9,800e-3,69.44e-9,800e-3,64.85e-9,206.1e-9,800e-3,800e-3,88.35e-9,800e-3,800e-3,-17.49e-9,800e-3,800e-3,85.82e-9,800e-3,51.79e-9,57.48e-9,800e-3,800e-3,68.93e-9,63.12e-9,86.07e-9,800e-3,53.27e-9,48.22e-9,800e-3,65.25e-9,800e-3,57.95e-9,39.62e-9,65.43e-9,126.4e-9,95.42e-9,800e-3,800e-3,131.4e-9,800e-3,800e-3,800e-3,800e-3,62.56e-9,800e-3,66.66e-9,800e-3,86.18e-9,800e-3,800e-3,57.46e-9,60.87e-9,43.32e-9,83.86e-9,800e-3,114.6e-9,67.45e-9,800e-3,65.33e-9,800e-3,94.02e-9,55.83e-9
25,nom,25,,800e-3,55.01e-9,50.88e-9,94.69e-9,800e-3,800e-3,72.4e-9,107.4e-9,72.01e-9,122e-9,800e-3,800e-3,800e-3,71.16e-9,64.21e-9,90.86e-9,57.77e-9,800e-3,76.82e-9,51.39e-9,77.05e-9,44.98e-9,800e-3,800e-3,800e-3,800e-3,40e-9,800e-3,800e-3,800e-3,800e-3,62.76e-9,70.36e-9,70.57e-9,800e-3,50.32e-9,800e-3,800e-3,800e-3,800e-3,50.54e-9,126.7e-9,49.84e-9,82.77e-9,56.44e-9,61e-9,405.2e-9,-7.821e-9,800e-3,57.73e-9,800e-3,192.6e-9,800e-3,800e-3,-9.845e-9,59.1e-9,64.84e-9,800e-3,75.15e-9,800e-3,800e-3,12.23e-9,49.01e-9,77.59e-9,800e-3,800e-3,86.81e-9,800e-3,-34.53e-9,800e-3,800e-3,215.2e-9,800e-3,95.65e-9,69.83e-9,65.45e-9,800e-3,51.46e-9,800e-3,67.48e-9,-1.629e-6,53.61e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,48.4e-9,800e-3,800e-3,51.55e-9,800e-3,72.88e-9,46.4e-9,26.72e-9,800e-3,800e-3,800e-3,-28.43e-9,800e-3,133.6e-9,87.56e-9,800e-3,56.43e-9,55.17e-9,68.01e-9,800e-3,52.02e-9,800e-3,57.9e-9,64.87e-9,46.83e-9,800e-3,64.6e-9,57.25e-9,84.22e-9,800e-3,800e-3,800e-3,800e-3,800e-3,80.76e-9,45.19e-9,44.96e-9,56.61e-9,800e-3,800e-3
26,nom,26,,51.43e-9,800e-3,800e-3,800e-3,63.86e-9,800e-3,800e-3,70.54e-9,800e-3,47.86e-9,93.3e-9,800e-3,800e-3,59.58e-9,152.5e-9,800e-3,800e-3,83.49e-9,800e-3,91.28e-9,800e-3,72.91e-9,800e-3,800e-3,108.1e-9,800e-3,800e-3,52.19e-9,39.39e-9,800e-3,800e-3,800e-3,800e-3,800e-3,60.93e-9,800e-3,59.75e-9,50.94e-9,47.95e-9,800e-3,59.32e-9,800e-3,57.17e-9,54.2e-9,800e-3,54.78e-9,800e-3,800e-3,800e-3,65.55e-9,800e-3,800e-3,800e-3,800e-3,43.12e-9,71.1e-9,47.61e-9,75.17e-9,145.7e-9,800e-3,800e-3,800e-3,800e-3,51.04e-9,800e-3,800e-3,800e-3,800e-3,47.45e-9,61.02e-9,52.94e-9,800e-3,800e-3,54.8e-9,800e-3,800e-3,800e-3,800e-3,128e-9,78.89e-9,62.62e-9,56.09e-9,45.96e-9,66.09e-9,800e-3,56.5e-9,800e-3,800e-3,88.47e-9,9.53e-9,87.2e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,54.26e-9,56.56e-9,54.06e-9,800e-3,43.42e-9,71.98e-9,800e-3,47.19e-9,95.06e-9,67.32e-9,800e-3,800e-3,33.68e-9,800e-3,52.96e-9,800e-3,800e-3,49.7e-9,800e-3,800e-3,62.48e-9,800e-3,800e-3,51.47e-9,123.8e-9,57.59e-9,800e-3,800e-3,800e-3,47.15e-9
27,nom,27,,31.17e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,89.97e-9,800e-3,800e-3,61.32e-9,68.26e-9,82.49e-9,59.34e-9,83.74e-9,59.63e-9,61.89e-9,800e-3,800e-3,58.64e-9,63.6e-9,800e-3,800e-3,36.13e-9,800e-3,60.58e-9,800e-3,800e-3,800e-3,53.3e-9,800e-3,800e-3,800e-3,62.55e-9,800e-3,74.9e-9,800e-3,800e-3,800e-3,800e-3,48.49e-9,800e-3,24.77e-9,800e-3,800e-3,49.71e-9,117.6e-9,800e-3,800e-3,47.12e-9,800e-3,800e-3,800e-3,346.7e-9,68.94e-9,800e-3,800e-3,61.65e-9,57.83e-9,169.5e-9,800e-3,800e-3,800e-3,86.01e-9,800e-3,800e-3,-67.69e-9,800e-3,800e-3,70.54e-9,-32.14e-9,57.12e-9,71.28e-9,800e-3,53.72e-9,800e-3,60.35e-9,800e-3,800e-3,673.5e-9,63.3e-9,800e-3,51.43e-9,63.39e-9,51.28e-9,20.74e-9,800e-3,800e-3,800e-3,800e-3,800e-3,50.24e-9,59.47e-9,800e-3,78.77e-9,800e-3,800e-3,800e-3,64.7e-9,800e-3,800e-3,800e-3,800e-3,57.72e-9,62.9e-9,800e-3,800e-3,800e-3,800e-3,172.4e-9,800e-3,800e-3,800e-3,800e-3,800e-3,-460.5e-9,123.4e-9,800e-3,800e-3,800e-3,800e-3,81.45e-9,800e-3,800e-3
