mc,maj,stability,strict,ber,cnt_mode,cnt_mean,cnt_median,cnt_max,cnt_frac_ge3
83,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
84,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
85,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
86,1.0,1.0,1.0,0.0,2.0,1.812,2.0,7.0,0.12
87,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
88,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
89,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
90,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
91,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
92,0.0,1.0,1.0,0.0,2.0,2.008,2.0,6.0,0.006
93,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
94,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
95,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
96,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
97,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
98,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
99,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
100,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
101,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
102,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
103,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
104,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
105,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
106,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
107,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
108,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
109,0.0,1.0,1.0,0.0,2.0,1.992,2.0,3.0,0.006
110,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
111,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
112,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
113,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
114,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
115,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
116,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
117,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
118,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
119,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
