mc,maj,stability,strict,ber,cnt_mode,cnt_mean,cnt_median,cnt_max,cnt_frac_ge3
362,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
363,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
364,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
365,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
366,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
367,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
368,1.0,1.0,1.0,0.0,2.0,1.604,2.0,7.0,0.01
369,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
370,1.0,1.0,1.0,0.0,1.0,1.284,1.0,6.0,0.006
371,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
372,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
373,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
374,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
375,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
376,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
377,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
378,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
379,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
380,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
381,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
382,1.0,1.0,1.0,0.0,2.0,2.002,2.0,3.0,0.002
383,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
384,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
385,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
386,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
387,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
388,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
389,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
390,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
391,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
392,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
393,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
394,1.0,1.0,1.0,0.0,1.0,1.012,1.0,2.0,0.0
395,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
396,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
397,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
398,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
399,0.0,0.998,0.0,0.002,2.0,2.018,2.0,4.0,0.014
400,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
401,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
402,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
403,1.0,1.0,1.0,0.0,2.0,2.016,2.0,3.0,0.016
404,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
405,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
406,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
407,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
408,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
409,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
410,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
411,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
412,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
413,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
414,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
415,1.0,1.0,1.0,0.0,1.0,1.258,1.0,2.0,0.0
416,0.0,1.0,1.0,0.0,2.0,1.746,2.0,7.0,0.058
417,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
418,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
419,1.0,1.0,1.0,0.0,1.0,1.012,1.0,3.0,0.002
420,0.0,1.0,1.0,0.0,2.0,2.002,2.0,3.0,0.002
421,1.0,1.0,1.0,0.0,6.0,6.0,6.0,6.0,1.0
422,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
423,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
424,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
425,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
426,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
427,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
428,0.0,1.0,1.0,0.0,2.0,1.892,2.0,7.0,0.016
429,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
430,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
431,1.0,0.998,0.0,0.002,2.0,2.11,2.0,7.0,0.098
432,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
433,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
434,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
435,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
436,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
437,0.0,1.0,1.0,0.0,2.0,2.07,2.0,3.0,0.07
438,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
439,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
440,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
441,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
442,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
443,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
444,0.0,0.976,0.0,0.024,2.0,2.28,2.0,5.0,0.238
445,1.0,1.0,1.0,0.0,2.0,2.002,2.0,3.0,0.002
446,0.0,1.0,1.0,0.0,2.0,1.994,2.0,6.0,0.002
447,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
448,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
449,0.0,1.0,1.0,0.0,2.0,2.002,2.0,3.0,0.002
450,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
451,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
452,1.0,1.0,1.0,0.0,1.0,1.048,1.0,3.0,0.008
453,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
454,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
455,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
456,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
457,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
458,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
459,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
460,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
461,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
462,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
463,1.0,1.0,1.0,0.0,2.0,2.006,2.0,3.0,0.008
464,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
465,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
466,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
467,1.0,1.0,1.0,0.0,2.0,2.026,2.0,3.0,0.026
468,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
469,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
470,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
471,1.0,1.0,1.0,0.0,2.0,2.022,2.0,7.0,0.022
472,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
473,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
474,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
475,1.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,1.0
476,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
477,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
478,1.0,1.0,1.0,0.0,2.0,2.29,2.0,4.0,0.288
479,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
480,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
481,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
482,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
483,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
484,1.0,1.0,1.0,0.0,1.0,1.022,1.0,3.0,0.01
485,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
486,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
487,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
488,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
489,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
490,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
491,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
492,0.0,1.0,1.0,0.0,3.0,2.646,3.0,4.0,0.644
493,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
494,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
495,0.0,1.0,1.0,0.0,2.0,1.998,2.0,2.0,0.0
496,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
497,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
498,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
499,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
500,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
501,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
502,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
503,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
504,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
505,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
506,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
507,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
508,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
509,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
510,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
511,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
512,0.0,1.0,1.0,0.0,2.0,2.006,2.0,3.0,0.006
